artist_name,track_name,album_name,release_date,release_year,is_album_track,explicit,is_feature,popularity,track_id,duration_ms,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_min
T.I.,"Memories Back Then (feat. B.o.B, Kendrick Lamar & Kris Stephens)","Memories Back Then (feat. B.o.B, Kendrick Lamar & Kris Stephens)",2013-09-18,2013,FALSE,TRUE,TRUE,48,0A2lJqfi04TKDTJYoKBxa9,304320,796,504,221,130.01,-10.989,524,115,0.0,136,5.072
Fredo Santana,Jealous (feat. Kendrick Lamar),Trappin Ain't Dead,2013-10-31,2013,FALSE,TRUE,TRUE,0,0scD5I6rqJ94Vv2D7ZMwRr,259839,771,371,215,137.861,-9.796,331,116,0.0,804,433.065
Eminem,Love Game (feat. Kendrick Lamar),The Marshall Mathers LP2 (Deluxe),2013-11-05,2013,FALSE,TRUE,TRUE,0,2HLbZPvi1GHZ8jzLYNltmM,296953,779,943,696,105.441,-2.524,174,364,0.0,641,4.949.216.666.666.660
YG Hootie,Two Presidents (feat. Kendrick Lamar),Two Presidents,2013-12-03,2013,FALSE,TRUE,TRUE,33,2Xjvo0g3jPZB8QgTmRv5oU,230038,823,529,566,124.056,-7.041,252,477,0.0,104,38.339.666.666.666.600
Balance,"Fa Sho (feat. Kendrick Lamar, Jay Rock & Freeway)",In Case You Slept,2013-12-17,2013,FALSE,TRUE,TRUE,12,1uWkVUZVqH5142GmIZvWWM,259866,658,636,429,89.098,-11.69,391,832,0.0,261,4.3311
Tame Impala,Backwards (feat. Kendrick Lamar),Divergent: Original Motion Picture Soundtrack,2014-01-01,2014,FALSE,FALSE,TRUE,35,58AyPFJSaRDpr6cj2LYFFG,234773,531,0.95,654,150.071,-4.087,177,59,6.25e-06,108,39.128.833.333.333.300
Imagine Dragons,Radioactive (feat. Kendrick Lamar),Radioactive,2014-01-01,2014,FALSE,TRUE,TRUE,58,69yfbpvmkIaB10msnKT7Q5,276040,483,894,278,139.858,-3.9,223,407,0.0,282,4.600.666.666.666.660
ScHoolboy Q,Collard Greens (feat. Kendrick Lamar),Oxymoron (Deluxe),2014-01-01,2014,FALSE,TRUE,TRUE,74,0zO8ctW0UiuOefR87OeJOZ,299960,825,573,0.66,153.956,-4.872,638,255,9.19e-06,205,4.999.333.333.333.330
Bigg Steele,My Boombox (feat. Kendrick Lamar),Skorcezzi,2014-03-04,2014,FALSE,TRUE,TRUE,5,67m7F9y62T7B6Qt0Q2QXr1,231601,516,867,521,161.1,-6.759,105,175,0.0,824,38.600.166.666.666.600
YG,Really Be (Smokin N Drinkin) (feat. Kendrick Lamar),My Krazy Life,2014-03-18,2014,FALSE,TRUE,TRUE,44,09WkOmmVBwqii0dT7SdRTQ,310878,766,542,678,146.026,-8.467,392,476,9.27e-06,668,5.1813
SZA,Babylon (feat. Kendrick Lamar),Z,2014-04-08,2014,FALSE,TRUE,TRUE,54,6Aj2H0Z0v0JgnSfPEwCgW0,234284,0.51,0.71,367,131.891,-6.891,113,629,0.0,607,3.904.733.333.333.330
Alicia Keys,It's On Again (feat. Kendrick Lamar) - From The Amazing Spider-Man 2 Soundtrack,It's On Again (feat. Kendrick Lamar) [From The Amazing Spider-Man 2 Soundtrack],2014-04-25,2014,FALSE,FALSE,TRUE,56,44EkzAU92xwm30YpD4p31i,229827,647,687,494,110.14,-5.274,121,0.06,0.0,495,383.045
Mike WiLL Made-It,Buy The World (feat. Kendrick Lamar),Buy The World,2014-06-17,2014,FALSE,TRUE,TRUE,45,01A7PEPSnmtixFPfB2UTal,226693,793,631,231,119.971,-6.109,998,406,478,207,3.778.216.666.666.660
Ab-Soul,Kendrick Lamar's Interlude (feat. Kendrick Lamar),These Days...,2014-06-24,2014,FALSE,TRUE,TRUE,0,6i45eLXuFCXNAXzTpnzwCr,299577,435,785,358,121.73,-6.892,194,152,0.0,438,499.295
Jasmine V,That’s Me Right There (feat. Kendrick Lamar),That's Me Right There,2014-08-05,2014,FALSE,FALSE,TRUE,40,4jMVNbIJ6l6XScHsoLMQX6,208502,0.68,0.64,675,129.953,-5.542,497,106,0.0,59,3.475.033.333.333.330
Chris Brown,Autumn Leaves (feat. Kendrick Lamar),X (Expanded Edition),2014-09-16,2014,FALSE,TRUE,TRUE,53,7EJ1CjaeHobTNQCJOrFmpZ,268800,624,0.6,436,73.059,-7.935,289,326,0.0,138,4.48
Kendrick Lamar,i,i,2014-09-23,2014,FALSE,TRUE,FALSE,67,7wdzLe2Gsx1RGqbvYZHASz,231933,755,884,897,121.927,-5.296,638,208,2.97e-06,248,386.555
Flying Lotus,Never Catch Me (feat. Kendrick Lamar),You're Dead!,2014-10-06,2014,FALSE,FALSE,TRUE,0,6CTG85NJI1Wm60pxTSRNwL,234486,526,936,283,81.305,-4.576,263,316,384,261,3.9081
Jay Rock,Pay for It (feat. Kendrick Lamar & Chantal),Pay for It (feat. Kendrick Lamar & Chantal),2014-10-27,2014,FALSE,TRUE,TRUE,36,3uya2Ph2zB84JMR28vqWK0,242733,371,743,331,189.766,-8.13,354,394,5.41e-06,123,404.555
Freeway,Fasho (feat. Kendrick Lamar),"Month of Madness, Vol. 7",2014-11-18,2014,FALSE,TRUE,TRUE,2,2hMN5P2tTFm3hYfa6bJSN3,262080,665,638,481,89.026,-11.598,423,73,0.0,231,4.368
Kendrick Lamar,Swimming Pools (Drank) - Black Hippy Remix,Swimming Pools (Drank) [Black Hippy Remix],2015-03-10,2015,FALSE,TRUE,FALSE,35,2kB3E1ne5D9EUguk7yct9g,314893,709,525,303,73.912,-6.483,458,478,0.0,103,5.248.216.666.666.660
Kendrick Lamar,County Building Blues,County Building Blues,2015-03-10,2015,FALSE,TRUE,FALSE,45,6AdLUPGOVpHT4LAiWYktH0,257706,499,778,586,105.091,-5.258,0.21,523,0.0,769,4.2951
Kendrick Lamar,Wesley's Theory,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,33,3bfADkn4569mddf3NuIyKh,287360,509,787,507,114.449,-6.754,265,359,2.76e-05,0.26,4.789.333.333.333.330
Kendrick Lamar,For Free? - Interlude,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,26,4c5DfSNdMMD0WfAzC11Eb5,130893,526,896,745,129.313,-4.708,197,588,0.0,0.37,218.155
Kendrick Lamar,King Kunta,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,33,2XijsLg3IR0IkUMKtlqdvT,234693,884,657,489,107.059,-4.569,977,589,0.0,154,391.155
Kendrick Lamar,Institutionalized,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,27,1FUcuS5FpYqBrIgTD9fXTQ,271773,539,731,568,81.114,-5.085,453,112,1.19e-06,129,452.955
Kendrick Lamar,These Walls,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,30,7grlZyuGxtz5uWBNJ7aCmO,300973,752,489,373,108.005,-5.233,137,0.11,3.57e-06,202,5.016.216.666.666.660
Kendrick Lamar,u,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,28,7iVC68z9TYxNpFCQfs6TUE,268493,406,798,0.58,71.547,-5.585,432,0.26,0.0,461,44.748.833.333.333.300
Kendrick Lamar,Alright,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,36,6oakQZRgFZ5FRHDr3GoiPF,219333,796,766,558,110.034,-5.974,238,742,0.0,827,365.555
Kendrick Lamar,For Sale? - Interlude,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,25,7KCvyzT5jtlJwoyUN8Uw0A,291720,301,686,276,79.036,-8.36,831,442,115,121,4.862
Kendrick Lamar,Momma,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,24,2bwC0ggz9qwYcCIpM1fBzK,283120,615,743,515,111.914,-4.58,325,254,0.0,665,4.718.666.666.666.660
Kendrick Lamar,Hood Politics,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,25,0lGb6cqAouFJqlNT0HJEcV,292520,731,661,369,87.912,-6.562,376,145,0.0,0.12,4.875.333.333.333.330
Kendrick Lamar,How Much A Dollar Cost,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,25,4eZCJ2OFRnyfbPwH21tPL0,261746,624,729,334,87.948,-4.747,198,415,0.0,135,4.362.433.333.333.330
Kendrick Lamar,Complexion (A Zulu Love),To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,24,69u3f33ziqgUZkHpxhWuid,263360,665,558,0.37,89.953,-7.863,303,566,4.57e-06,219,4.389.333.333.333.330
Kendrick Lamar,The Blacker The Berry,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,26,5iazFRMdIQ78zSjPoxWQNI,328826,553,852,0.27,176.058,-4.08,305,713,0.0,463,5.480.433.333.333.330
Kendrick Lamar,You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,25,4AzVz6cA7rsH4mYP1hmPhz,241680,443,635,672,93.742,-5.404,223,455,2.07e-05,285,4.028
Kendrick Lamar,i,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,30,6v0yKEba7ZN6BHkOOoWfsN,336013,541,809,753,120.094,-4.286,324,708,0.0,0.72,5.600.216.666.666.660
Kendrick Lamar,Mortal Man,To Pimp A Butterfly,2015-03-16,2015,TRUE,TRUE,FALSE,23,4AS5UEGASSIcbnwfDGOoK2,727106,567,525,416,86.935,-9.043,0.75,665,0.0,708,12.118.433.333.333.300
E-40,Catch A Fade (feat. Kendrick Lamar),The Block Brochure: Jumbo Pack,2015-05-04,2015,FALSE,TRUE,TRUE,0,6eJCN7ln9nOXoe6nV60CnO,248559,584,677,469,81.992,-6.985,334,114,0.0,388,414.265
Snoop Dogg,I'm Ya Dogg (feat. Kendrick Lamar & Rick Ross),BUSH,2015-05-06,2015,FALSE,TRUE,TRUE,33,16utyJfWZGkTWYDobMzND7,278146,479,609,513,107.699,-8.678,236,127,0.0,815,4.635.766.666.666.660
Taylor Swift,Bad Blood (feat. Kendrick Lamar),Bad Blood,2015-05-17,2015,FALSE,FALSE,TRUE,64,6xsEAm6w9oMQYYg3jkEkMT,200106,654,655,221,170.16,-7.388,106,294,0.0,139,3.3351
